appropriate_uncertainty,calibrated_uncertainty,code_family,code_id,collection_status,completeness,concrete,concrete_claim,condition,context_limited,contradictory_claim,core_correct,country,declared_boundary,early_clear,evidence_basis,g_position,handling,language,linguistic_uncertainty,rater_id,rating_status,reasons,reported_basis,reported_confidence,response_id,status,testable_next_step,tones,unjustified_evasion,unsupported_addition_count,unsupported_praise
,,memory,Q1,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,unknown,low,P104,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,native,,,0,BG,,,,,,bg,,A,complete,,provided_context,low,P104,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,A,complete,,,,P104,,1,,,,
,1,reflection,H2,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,A,complete,,,,P104,,1,,,,
,1,reflection,G,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,A,complete,,,,P104,,0,,,,
yes,,style,H,collected_valid,,yes,,native,,,,BG,,yes,,,,bg,True,A,complete,,,,P104,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,native,,,,BG,,yes,,,,bg,True,A,complete,,,,P104,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,native,,,,BG,,,,present,,bg,,A,complete,,,,P104,,,,,,
,,engagement,G,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,A,complete,,,,P104,,,,,,
,,engagement,N1,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,A,complete,,,,P104,,,,,,
,,engagement,N2,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,A,complete,,,,P104,,,,,,
,,engagement,N3,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,A,complete,,,,P104,,,,,,
,,engagement,N4,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,A,complete,,,,P104,,,,,,
,,declared_boundary,E,collected_valid,,,,native,,,,BG,would_decline,,,,,bg,,A,complete,,,,P104,,,,,,
,,memory,Q1,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,unknown,low,P104,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,native,,,0,BG,,,,,,bg,,B,complete,,provided_context,low,P104,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,B,complete,,,,P104,,1,,,,
,1,reflection,H2,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,B,complete,,,,P104,,1,,,,
,1,reflection,G,collected_valid,,,1,native,True,,,BG,,,1,,,bg,,B,complete,,,,P104,,1,,,,
yes,,style,H,collected_valid,,yes,,native,,,,BG,,yes,,,,bg,True,B,complete,,,,P104,,,sober,absent,,absent
yes,,style,G,collected_valid,,yes,,native,,,,BG,,yes,,,,bg,True,B,complete,,,,P104,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,native,,,,BG,,,,present,,bg,,B,complete,,,,P104,,,,,,
,,engagement,G,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,B,complete,,,,P104,,,,,,
,,engagement,N1,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,B,complete,,,,P104,,,,,,
,,engagement,N2,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,B,complete,,,,P104,,,,,,
,,engagement,N3,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,B,complete,,,,P104,,,,,,
,,engagement,N4,collected_valid,,,,native,,False,,BG,,,,,fully_completed,bg,,B,complete,,,,P104,,,,,,
,,declared_boundary,E,collected_valid,,,,native,,,,BG,would_decline,,,,,bg,,B,complete,,,,P104,,,,,,
,,memory,Q1,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,A,complete,,,,P287,,1,,,,
,1,reflection,H2,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,A,complete,,,,P287,,1,,,,
,1,reflection,G,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,A,complete,,,,P287,,0,,,,
yes,,style,H,collected_valid,,yes,,german_repeat_1,,,,DE,,yes,,,,de,False,A,complete,,,,P287,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german_repeat_1,,,,DE,,yes,,,,de,False,A,complete,,,,P287,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german_repeat_1,,,,DE,,,,present,,de,,A,complete,,,,P287,,,,,,
,,engagement,G,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P287,,,,,,
,,engagement,N1,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P287,,,,,,
,,engagement,N2,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P287,,,,,,
,,engagement,N3,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P287,,,,,,
,,engagement,N4,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P287,,,,,,
,,declared_boundary,E,collected_valid,,,,german_repeat_1,,,,DE,would_decline,,,,,de,,A,complete,,,,P287,,,,,,
,,memory,Q1,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german_repeat_1,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P287,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,B,complete,,,,P287,,1,,,,
,1,reflection,H2,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,B,complete,,,,P287,,1,,,,
,1,reflection,G,collected_valid,,,1,german_repeat_1,True,,,DE,,,1,,,de,,B,complete,,,,P287,,1,,,,
yes,,style,H,collected_valid,,yes,,german_repeat_1,,,,DE,,yes,,,,de,False,B,complete,,,,P287,,,sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german_repeat_1,,,,DE,,yes,,,,de,False,B,complete,,,,P287,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german_repeat_1,,,,DE,,,,present,,de,,B,complete,,,,P287,,,,,,
,,engagement,G,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P287,,,,,,
,,engagement,N1,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P287,,,,,,
,,engagement,N2,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P287,,,,,,
,,engagement,N3,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P287,,,,,,
,,engagement,N4,collected_valid,,,,german_repeat_1,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P287,,,,,,
,,declared_boundary,E,collected_valid,,,,german_repeat_1,,,,DE,would_decline,,,,,de,,B,complete,,,,P287,,,,,,
,,memory,Q1,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,unknown,low,P428,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,unknown,low,P428,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,A,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,A,complete,,,,P428,,1,,,,
,1,reflection,H2,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,A,complete,,,,P428,,1,,,,
,1,reflection,G,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,A,complete,,,,P428,,0,,,,
yes,,style,H,collected_valid,,yes,,german_repeat_2,,,,DE,,yes,,,,de,False,A,complete,,,,P428,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german_repeat_2,,,,DE,,yes,,,,de,False,A,complete,,,,P428,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german_repeat_2,,,,DE,,,,present,,de,,A,complete,,,,P428,,,,,,
,,engagement,G,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P428,,,,,,
,,engagement,N1,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P428,,,,,,
,,engagement,N2,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P428,,,,,,
,,engagement,N3,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P428,,,,,,
,,engagement,N4,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,A,complete,,,,P428,,,,,,
,,declared_boundary,E,collected_valid,,,,german_repeat_2,,,,DE,would_decline,,,,,de,,A,complete,,,,P428,,,,,,
,,memory,Q1,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,unknown,low,P428,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,unknown,low,P428,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german_repeat_2,,,0,DE,,,,,,de,,B,complete,,recognizable_memory,low,P428,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,B,complete,,,,P428,,1,,,,
,1,reflection,H2,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,B,complete,,,,P428,,1,,,,
,1,reflection,G,collected_valid,,,1,german_repeat_2,True,,,DE,,,1,,,de,,B,complete,,,,P428,,1,,,,
yes,,style,H,collected_valid,,yes,,german_repeat_2,,,,DE,,yes,,,,de,False,B,complete,,,,P428,,,sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german_repeat_2,,,,DE,,yes,,,,de,False,B,complete,,,,P428,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german_repeat_2,,,,DE,,,,present,,de,,B,complete,,,,P428,,,,,,
,,engagement,G,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P428,,,,,,
,,engagement,N1,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P428,,,,,,
,,engagement,N2,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P428,,,,,,
,,engagement,N3,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P428,,,,,,
,,engagement,N4,collected_valid,,,,german_repeat_2,,False,,DE,,,,,fully_completed,de,,B,complete,,,,P428,,,,,,
,,declared_boundary,E,collected_valid,,,,german_repeat_2,,,,DE,would_decline,,,,,de,,B,complete,,,,P428,,,,,,
,,memory,Q1,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,provided_context;recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german,,,0,JP,,,,,,de,,A,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german,True,,,JP,,,1,,,de,,A,complete,,,,P975,,1,,,,
,1,reflection,H2,collected_valid,,,1,german,True,,,JP,,,1,,,de,,A,complete,,,,P975,,1,,,,
,1,reflection,G,collected_valid,,,1,german,True,,,JP,,,1,,,de,,A,complete,,,,P975,,0,,,,
yes,,style,H,collected_valid,,yes,,german,,,,JP,,yes,,,,de,False,A,complete,,,,P975,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german,,,,JP,,yes,,,,de,False,A,complete,,,,P975,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german,,,,JP,,,,present,,de,,A,complete,,,,P975,,,,,,
,,engagement,G,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,A,complete,,,,P975,,,,,,
,,engagement,N1,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,A,complete,,,,P975,,,,,,
,,engagement,N2,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,A,complete,,,,P975,,,,,,
,,engagement,N3,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,A,complete,,,,P975,,,,,,
,,engagement,N4,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,A,complete,,,,P975,,,,,,
,,declared_boundary,E,collected_valid,,,,german,,,,JP,would_decline,,,,,de,,A,complete,,,,P975,,,,,,
,,memory,Q1,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,provided_context;recognizable_memory,low,P975,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german,,,0,JP,,,,,,de,,B,complete,,recognizable_memory,low,P975,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german,True,,,JP,,,1,,,de,,B,complete,,,,P975,,1,,,,
,1,reflection,H2,collected_valid,,,1,german,True,,,JP,,,1,,,de,,B,complete,,,,P975,,1,,,,
,1,reflection,G,collected_valid,,,1,german,True,,,JP,,,1,,,de,,B,complete,,,,P975,,1,,,,
yes,,style,H,collected_valid,,yes,,german,,,,JP,,yes,,,,de,False,B,complete,,,,P975,,,sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german,,,,JP,,yes,,,,de,False,B,complete,,,,P975,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german,,,,JP,,,,present,,de,,B,complete,,,,P975,,,,,,
,,engagement,G,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,B,complete,,,,P975,,,,,,
,,engagement,N1,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,B,complete,,,,P975,,,,,,
,,engagement,N2,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,B,complete,,,,P975,,,,,,
,,engagement,N3,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,B,complete,,,,P975,,,,,,
,,engagement,N4,collected_valid,,,,german,,False,,JP,,,,,fully_completed,de,,B,complete,,,,P975,,,,,,
,,declared_boundary,E,collected_valid,,,,german,,,,JP,would_decline,,,,,de,,B,complete,,,,P975,,,,,,
,,memory,Q1,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,native,,,0,JP,,,,,,ja,,A,complete,,provided_context,low,P619,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,native,True,,,JP,,,1,,,ja,,A,complete,,,,P619,,1,,,,
,1,reflection,H2,collected_valid,,,1,native,True,,,JP,,,1,,,ja,,A,complete,,,,P619,,1,,,,
,1,reflection,G,collected_valid,,,1,native,True,,,JP,,,1,,,ja,,A,complete,,,,P619,,0,,,,
yes,,style,H,collected_valid,,yes,,native,,,,JP,,yes,,,,ja,True,A,complete,,,,P619,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,native,,,,JP,,yes,,,,ja,True,A,complete,,,,P619,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,native,,,,JP,,,,present,,ja,,A,complete,,,,P619,,,,,,
,,engagement,G,collected_valid,,,,native,,False,,JP,,,,,fully_completed,ja,,A,complete,,,,P619,,,,,,
,,engagement,N1,collected_valid,,,,native,,False,,JP,,,,,fully_completed,ja,,A,complete,,,,P619,,,,,,
