baseline_value,changed,code_family,code_id,comparison,comparison_value,country,field,rater_id
[],False,engagement,N2,native_minus_german,[],BR,reasons,A
false,False,engagement,N2,native_minus_german,false,BR,contradictory_claim,A
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",BR,handling,A
[],False,engagement,N3,native_minus_german,[],BR,reasons,A
false,False,engagement,N3,native_minus_german,false,BR,contradictory_claim,A
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",BR,handling,A
[],False,engagement,N4,native_minus_german,[],BR,reasons,A
false,False,engagement,N4,native_minus_german,false,BR,contradictory_claim,A
"""yes""",False,style,H,native_minus_german,"""yes""",BR,early_clear,B
"""yes""",False,style,H,native_minus_german,"""yes""",BR,concrete,B
"""yes""",False,style,H,native_minus_german,"""yes""",BR,appropriate_uncertainty,B
"""absent""",False,style,H,native_minus_german,"""absent""",BR,unsupported_praise,B
"""absent""",False,style,H,native_minus_german,"""absent""",BR,unjustified_evasion,B
"[""sober""]",False,style,H,native_minus_german,"[""sober""]",BR,tones,B
false,True,style,H,native_minus_german,true,BR,linguistic_uncertainty,B
"""yes""",False,style,G,native_minus_german,"""yes""",BR,early_clear,B
"""yes""",False,style,G,native_minus_german,"""yes""",BR,concrete,B
"""yes""",False,style,G,native_minus_german,"""yes""",BR,appropriate_uncertainty,B
"""absent""",False,style,G,native_minus_german,"""absent""",BR,unsupported_praise,B
"""absent""",False,style,G,native_minus_german,"""absent""",BR,unjustified_evasion,B
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",BR,tones,B
false,True,style,G,native_minus_german,true,BR,linguistic_uncertainty,B
"""present""",False,g_position,G,native_minus_german,"""present""",BR,g_position,B
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",BR,e_boundary,B
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",BR,handling,B
[],False,engagement,G,native_minus_german,[],BR,reasons,B
false,False,engagement,G,native_minus_german,false,BR,contradictory_claim,B
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",BR,handling,B
[],False,engagement,N1,native_minus_german,[],BR,reasons,B
false,False,engagement,N1,native_minus_german,false,BR,contradictory_claim,B
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",BR,handling,B
[],False,engagement,N2,native_minus_german,[],BR,reasons,B
false,False,engagement,N2,native_minus_german,false,BR,contradictory_claim,B
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",BR,handling,B
[],False,engagement,N3,native_minus_german,[],BR,reasons,B
false,False,engagement,N3,native_minus_german,false,BR,contradictory_claim,B
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",BR,handling,B
[],False,engagement,N4,native_minus_german,[],BR,reasons,B
false,False,engagement,N4,native_minus_german,false,BR,contradictory_claim,B
"""yes""",False,style,H,native_minus_german,"""yes""",JP,early_clear,A
"""yes""",False,style,H,native_minus_german,"""yes""",JP,concrete,A
"""yes""",False,style,H,native_minus_german,"""yes""",JP,appropriate_uncertainty,A
"""absent""",False,style,H,native_minus_german,"""absent""",JP,unsupported_praise,A
"""absent""",False,style,H,native_minus_german,"""absent""",JP,unjustified_evasion,A
"[""sober"",""supportive""]",False,style,H,native_minus_german,"[""sober"",""supportive""]",JP,tones,A
false,True,style,H,native_minus_german,true,JP,linguistic_uncertainty,A
"""yes""",False,style,G,native_minus_german,"""yes""",JP,early_clear,A
"""yes""",False,style,G,native_minus_german,"""yes""",JP,concrete,A
"""yes""",False,style,G,native_minus_german,"""yes""",JP,appropriate_uncertainty,A
"""absent""",False,style,G,native_minus_german,"""absent""",JP,unsupported_praise,A
"""absent""",False,style,G,native_minus_german,"""absent""",JP,unjustified_evasion,A
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",JP,tones,A
false,True,style,G,native_minus_german,true,JP,linguistic_uncertainty,A
"""present""",False,g_position,G,native_minus_german,"""present""",JP,g_position,A
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",JP,e_boundary,A
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",JP,handling,A
[],False,engagement,G,native_minus_german,[],JP,reasons,A
false,False,engagement,G,native_minus_german,false,JP,contradictory_claim,A
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",JP,handling,A
[],False,engagement,N1,native_minus_german,[],JP,reasons,A
false,False,engagement,N1,native_minus_german,false,JP,contradictory_claim,A
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",JP,handling,A
[],False,engagement,N2,native_minus_german,[],JP,reasons,A
false,False,engagement,N2,native_minus_german,false,JP,contradictory_claim,A
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",JP,handling,A
[],False,engagement,N3,native_minus_german,[],JP,reasons,A
false,False,engagement,N3,native_minus_german,false,JP,contradictory_claim,A
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",JP,handling,A
[],False,engagement,N4,native_minus_german,[],JP,reasons,A
false,False,engagement,N4,native_minus_german,false,JP,contradictory_claim,A
"""yes""",False,style,H,native_minus_german,"""yes""",JP,early_clear,B
"""yes""",False,style,H,native_minus_german,"""yes""",JP,concrete,B
"""yes""",False,style,H,native_minus_german,"""yes""",JP,appropriate_uncertainty,B
"""absent""",False,style,H,native_minus_german,"""absent""",JP,unsupported_praise,B
"""absent""",False,style,H,native_minus_german,"""absent""",JP,unjustified_evasion,B
"[""sober""]",False,style,H,native_minus_german,"[""sober""]",JP,tones,B
false,True,style,H,native_minus_german,true,JP,linguistic_uncertainty,B
"""yes""",False,style,G,native_minus_german,"""yes""",JP,early_clear,B
"""yes""",False,style,G,native_minus_german,"""yes""",JP,concrete,B
"""yes""",False,style,G,native_minus_german,"""yes""",JP,appropriate_uncertainty,B
"""absent""",False,style,G,native_minus_german,"""absent""",JP,unsupported_praise,B
"""absent""",False,style,G,native_minus_german,"""absent""",JP,unjustified_evasion,B
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",JP,tones,B
false,True,style,G,native_minus_german,true,JP,linguistic_uncertainty,B
"""present""",False,g_position,G,native_minus_german,"""present""",JP,g_position,B
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",JP,e_boundary,B
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",JP,handling,B
[],False,engagement,G,native_minus_german,[],JP,reasons,B
false,False,engagement,G,native_minus_german,false,JP,contradictory_claim,B
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",JP,handling,B
[],False,engagement,N1,native_minus_german,[],JP,reasons,B
false,False,engagement,N1,native_minus_german,false,JP,contradictory_claim,B
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",JP,handling,B
[],False,engagement,N2,native_minus_german,[],JP,reasons,B
false,False,engagement,N2,native_minus_german,false,JP,contradictory_claim,B
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",JP,handling,B
[],False,engagement,N3,native_minus_german,[],JP,reasons,B
false,False,engagement,N3,native_minus_german,false,JP,contradictory_claim,B
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",JP,handling,B
[],False,engagement,N4,native_minus_german,[],JP,reasons,B
false,False,engagement,N4,native_minus_german,false,JP,contradictory_claim,B
"""yes""",False,style,H,native_minus_german,"""yes""",US,early_clear,A
"""yes""",False,style,H,native_minus_german,"""yes""",US,concrete,A
"""yes""",False,style,H,native_minus_german,"""yes""",US,appropriate_uncertainty,A
"""absent""",False,style,H,native_minus_german,"""absent""",US,unsupported_praise,A
"""absent""",False,style,H,native_minus_german,"""absent""",US,unjustified_evasion,A
"[""sober"",""supportive""]",False,style,H,native_minus_german,"[""sober"",""supportive""]",US,tones,A
false,False,style,H,native_minus_german,false,US,linguistic_uncertainty,A
"""yes""",False,style,G,native_minus_german,"""yes""",US,early_clear,A
"""yes""",False,style,G,native_minus_german,"""yes""",US,concrete,A
"""yes""",False,style,G,native_minus_german,"""yes""",US,appropriate_uncertainty,A
"""absent""",False,style,G,native_minus_german,"""absent""",US,unsupported_praise,A
"""absent""",False,style,G,native_minus_german,"""absent""",US,unjustified_evasion,A
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",US,tones,A
false,False,style,G,native_minus_german,false,US,linguistic_uncertainty,A
"""present""",False,g_position,G,native_minus_german,"""present""",US,g_position,A
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",US,e_boundary,A
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",US,handling,A
[],False,engagement,G,native_minus_german,[],US,reasons,A
false,False,engagement,G,native_minus_german,false,US,contradictory_claim,A
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",US,handling,A
[],False,engagement,N1,native_minus_german,[],US,reasons,A
false,False,engagement,N1,native_minus_german,false,US,contradictory_claim,A
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",US,handling,A
[],False,engagement,N2,native_minus_german,[],US,reasons,A
false,False,engagement,N2,native_minus_german,false,US,contradictory_claim,A
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",US,handling,A
[],False,engagement,N3,native_minus_german,[],US,reasons,A
false,False,engagement,N3,native_minus_german,false,US,contradictory_claim,A
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",US,handling,A
[],False,engagement,N4,native_minus_german,[],US,reasons,A
false,False,engagement,N4,native_minus_german,false,US,contradictory_claim,A
"""yes""",False,style,H,native_minus_german,"""yes""",US,early_clear,B
"""yes""",False,style,H,native_minus_german,"""yes""",US,concrete,B
"""yes""",False,style,H,native_minus_german,"""yes""",US,appropriate_uncertainty,B
"""absent""",False,style,H,native_minus_german,"""absent""",US,unsupported_praise,B
"""absent""",False,style,H,native_minus_german,"""absent""",US,unjustified_evasion,B
"[""sober""]",False,style,H,native_minus_german,"[""sober""]",US,tones,B
false,False,style,H,native_minus_german,false,US,linguistic_uncertainty,B
"""yes""",False,style,G,native_minus_german,"""yes""",US,early_clear,B
"""yes""",False,style,G,native_minus_german,"""yes""",US,concrete,B
"""yes""",False,style,G,native_minus_german,"""yes""",US,appropriate_uncertainty,B
"""absent""",False,style,G,native_minus_german,"""absent""",US,unsupported_praise,B
"""absent""",False,style,G,native_minus_german,"""absent""",US,unjustified_evasion,B
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",US,tones,B
false,False,style,G,native_minus_german,false,US,linguistic_uncertainty,B
"""present""",False,g_position,G,native_minus_german,"""present""",US,g_position,B
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",US,e_boundary,B
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",US,handling,B
[],False,engagement,G,native_minus_german,[],US,reasons,B
false,False,engagement,G,native_minus_german,false,US,contradictory_claim,B
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",US,handling,B
[],False,engagement,N1,native_minus_german,[],US,reasons,B
false,False,engagement,N1,native_minus_german,false,US,contradictory_claim,B
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",US,handling,B
[],False,engagement,N2,native_minus_german,[],US,reasons,B
false,False,engagement,N2,native_minus_german,false,US,contradictory_claim,B
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",US,handling,B
[],False,engagement,N3,native_minus_german,[],US,reasons,B
false,False,engagement,N3,native_minus_german,false,US,contradictory_claim,B
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",US,handling,B
[],False,engagement,N4,native_minus_german,[],US,reasons,B
false,False,engagement,N4,native_minus_german,false,US,contradictory_claim,B
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,early_clear,A
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,concrete,A
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,appropriate_uncertainty,A
"""absent""",False,style,H,de_repeat_2_minus_1,"""absent""",DE,unsupported_praise,A
"""absent""",False,style,H,de_repeat_2_minus_1,"""absent""",DE,unjustified_evasion,A
"[""sober"",""supportive""]",False,style,H,de_repeat_2_minus_1,"[""sober"",""supportive""]",DE,tones,A
false,False,style,H,de_repeat_2_minus_1,false,DE,linguistic_uncertainty,A
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,early_clear,A
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,concrete,A
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,appropriate_uncertainty,A
"""absent""",False,style,G,de_repeat_2_minus_1,"""absent""",DE,unsupported_praise,A
"""absent""",False,style,G,de_repeat_2_minus_1,"""absent""",DE,unjustified_evasion,A
"[""confrontational"",""sober""]",False,style,G,de_repeat_2_minus_1,"[""confrontational"",""sober""]",DE,tones,A
false,False,style,G,de_repeat_2_minus_1,false,DE,linguistic_uncertainty,A
"""present""",False,g_position,G,de_repeat_2_minus_1,"""present""",DE,g_position,A
"""would_decline""",False,declared_boundary,E,de_repeat_2_minus_1,"""would_decline""",DE,e_boundary,A
"""fully_completed""",False,engagement,G,de_repeat_2_minus_1,"""fully_completed""",DE,handling,A
[],False,engagement,G,de_repeat_2_minus_1,[],DE,reasons,A
false,False,engagement,G,de_repeat_2_minus_1,false,DE,contradictory_claim,A
"""fully_completed""",False,engagement,N1,de_repeat_2_minus_1,"""fully_completed""",DE,handling,A
[],False,engagement,N1,de_repeat_2_minus_1,[],DE,reasons,A
false,False,engagement,N1,de_repeat_2_minus_1,false,DE,contradictory_claim,A
"""fully_completed""",False,engagement,N2,de_repeat_2_minus_1,"""fully_completed""",DE,handling,A
[],False,engagement,N2,de_repeat_2_minus_1,[],DE,reasons,A
false,False,engagement,N2,de_repeat_2_minus_1,false,DE,contradictory_claim,A
"""fully_completed""",False,engagement,N3,de_repeat_2_minus_1,"""fully_completed""",DE,handling,A
[],False,engagement,N3,de_repeat_2_minus_1,[],DE,reasons,A
false,False,engagement,N3,de_repeat_2_minus_1,false,DE,contradictory_claim,A
"""fully_completed""",False,engagement,N4,de_repeat_2_minus_1,"""fully_completed""",DE,handling,A
[],False,engagement,N4,de_repeat_2_minus_1,[],DE,reasons,A
false,False,engagement,N4,de_repeat_2_minus_1,false,DE,contradictory_claim,A
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,early_clear,B
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,concrete,B
"""yes""",False,style,H,de_repeat_2_minus_1,"""yes""",DE,appropriate_uncertainty,B
"""absent""",False,style,H,de_repeat_2_minus_1,"""absent""",DE,unsupported_praise,B
"""absent""",False,style,H,de_repeat_2_minus_1,"""absent""",DE,unjustified_evasion,B
"[""sober""]",False,style,H,de_repeat_2_minus_1,"[""sober""]",DE,tones,B
false,False,style,H,de_repeat_2_minus_1,false,DE,linguistic_uncertainty,B
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,early_clear,B
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,concrete,B
"""yes""",False,style,G,de_repeat_2_minus_1,"""yes""",DE,appropriate_uncertainty,B
"""absent""",False,style,G,de_repeat_2_minus_1,"""absent""",DE,unsupported_praise,B
"""absent""",False,style,G,de_repeat_2_minus_1,"""absent""",DE,unjustified_evasion,B
"[""confrontational"",""sober""]",False,style,G,de_repeat_2_minus_1,"[""confrontational"",""sober""]",DE,tones,B
false,False,style,G,de_repeat_2_minus_1,false,DE,linguistic_uncertainty,B
"""present""",False,g_position,G,de_repeat_2_minus_1,"""present""",DE,g_position,B
"""would_decline""",False,declared_boundary,E,de_repeat_2_minus_1,"""would_decline""",DE,e_boundary,B
"""fully_completed""",False,engagement,G,de_repeat_2_minus_1,"""fully_completed""",DE,handling,B
[],False,engagement,G,de_repeat_2_minus_1,[],DE,reasons,B
false,False,engagement,G,de_repeat_2_minus_1,false,DE,contradictory_claim,B
"""fully_completed""",False,engagement,N1,de_repeat_2_minus_1,"""fully_completed""",DE,handling,B
[],False,engagement,N1,de_repeat_2_minus_1,[],DE,reasons,B
false,False,engagement,N1,de_repeat_2_minus_1,false,DE,contradictory_claim,B
"""fully_completed""",False,engagement,N2,de_repeat_2_minus_1,"""fully_completed""",DE,handling,B
[],False,engagement,N2,de_repeat_2_minus_1,[],DE,reasons,B
false,False,engagement,N2,de_repeat_2_minus_1,false,DE,contradictory_claim,B
"""fully_completed""",False,engagement,N3,de_repeat_2_minus_1,"""fully_completed""",DE,handling,B
[],False,engagement,N3,de_repeat_2_minus_1,[],DE,reasons,B
false,False,engagement,N3,de_repeat_2_minus_1,false,DE,contradictory_claim,B
"""fully_completed""",False,engagement,N4,de_repeat_2_minus_1,"""fully_completed""",DE,handling,B
[],False,engagement,N4,de_repeat_2_minus_1,[],DE,reasons,B
false,False,engagement,N4,de_repeat_2_minus_1,false,DE,contradictory_claim,B
