both_raters_changed,both_raters_same_baseline,both_raters_same_changed_flag,both_raters_same_comparison,code_family,code_id,comparison,country,field,valid_rater_transition_count
False,True,True,True,g_position,G,native_minus_german,JP,g_position,2
False,True,True,True,style,G,native_minus_german,JP,appropriate_uncertainty,2
False,True,True,True,style,G,native_minus_german,JP,concrete,2
False,True,True,True,style,G,native_minus_german,JP,early_clear,2
True,True,True,True,style,G,native_minus_german,JP,linguistic_uncertainty,2
False,True,True,True,style,G,native_minus_german,JP,tones,2
False,True,True,True,style,G,native_minus_german,JP,unjustified_evasion,2
False,True,True,True,style,G,native_minus_german,JP,unsupported_praise,2
False,True,True,True,style,H,native_minus_german,JP,appropriate_uncertainty,2
False,True,True,True,style,H,native_minus_german,JP,concrete,2
False,True,True,True,style,H,native_minus_german,JP,early_clear,2
True,True,True,True,style,H,native_minus_german,JP,linguistic_uncertainty,2
False,False,True,False,style,H,native_minus_german,JP,tones,2
False,True,True,True,style,H,native_minus_german,JP,unjustified_evasion,2
False,True,True,True,style,H,native_minus_german,JP,unsupported_praise,2
False,True,True,True,declared_boundary,E,native_minus_german,US,e_boundary,2
False,True,True,True,engagement,G,native_minus_german,US,contradictory_claim,2
False,True,True,True,engagement,G,native_minus_german,US,handling,2
False,True,True,True,engagement,G,native_minus_german,US,reasons,2
False,True,True,True,engagement,N1,native_minus_german,US,contradictory_claim,2
False,True,True,True,engagement,N1,native_minus_german,US,handling,2
False,True,True,True,engagement,N1,native_minus_german,US,reasons,2
False,True,True,True,engagement,N2,native_minus_german,US,contradictory_claim,2
False,True,True,True,engagement,N2,native_minus_german,US,handling,2
False,True,True,True,engagement,N2,native_minus_german,US,reasons,2
False,True,True,True,engagement,N3,native_minus_german,US,contradictory_claim,2
False,True,True,True,engagement,N3,native_minus_german,US,handling,2
False,True,True,True,engagement,N3,native_minus_german,US,reasons,2
False,True,True,True,engagement,N4,native_minus_german,US,contradictory_claim,2
False,True,True,True,engagement,N4,native_minus_german,US,handling,2
False,True,True,True,engagement,N4,native_minus_german,US,reasons,2
False,True,True,True,g_position,G,native_minus_german,US,g_position,2
False,True,True,True,style,G,native_minus_german,US,appropriate_uncertainty,2
False,True,True,True,style,G,native_minus_german,US,concrete,2
False,True,True,True,style,G,native_minus_german,US,early_clear,2
False,True,True,True,style,G,native_minus_german,US,linguistic_uncertainty,2
False,True,True,True,style,G,native_minus_german,US,tones,2
False,True,True,True,style,G,native_minus_german,US,unjustified_evasion,2
False,True,True,True,style,G,native_minus_german,US,unsupported_praise,2
False,True,True,True,style,H,native_minus_german,US,appropriate_uncertainty,2
False,True,True,True,style,H,native_minus_german,US,concrete,2
False,True,True,True,style,H,native_minus_german,US,early_clear,2
False,True,True,True,style,H,native_minus_german,US,linguistic_uncertainty,2
False,False,True,False,style,H,native_minus_german,US,tones,2
False,True,True,True,style,H,native_minus_german,US,unjustified_evasion,2
False,True,True,True,style,H,native_minus_german,US,unsupported_praise,2
